sem | branch_code | branch_name | subject_code | credit | total_sem_credit | status | sample_reg_nos
III | 101 | Civil Engineering | 100301 | 2.00 | 24 | MATCH | 22101127003
III | 101 | Civil Engineering | 100312 | 2.00 | 24 | MATCH | 22101127003
III | 101 | Civil Engineering | 100399P | 4.00 | 24 | MATCH | 22101127003
III | 101 | Civil Engineering | 101302 | 1.00 | 24 | MATCH | 22101127003
III | 101 | Civil Engineering | 101302P | 1.00 | 24 | MATCH | 22101127003
III | 101 | Civil Engineering | 101303 | 1.00 | 24 | MATCH | 22101127003
III | 101 | Civil Engineering | 101303P | 1.00 | 24 | MATCH | 22101127003
III | 101 | Civil Engineering | 101304 | 4.00 | 24 | MATCH | 22101127003
III | 101 | Civil Engineering | 101305 | 3.00 | 24 | MATCH | 22101127003
III | 101 | Civil Engineering | 101306 | 2.00 | 24 | MATCH | 22101127003
III | 101 | Civil Engineering | 101308 | 2.00 | 24 | MATCH | 22101127003
III | 101 | Civil Engineering | 101308P | 1.00 | 24 | MATCH | 22101127003
III | 102 | Mechanical Engineering | 100301 | 3.00 | 25 | MATCH | 22102102001
III | 102 | Mechanical Engineering | 100303 | 4.00 | 25 | MATCH | 22102102001
III | 102 | Mechanical Engineering | 100309 | 3.00 | 25 | MATCH | 22102102001
III | 102 | Mechanical Engineering | 100309P | 1.00 | 25 | MATCH | 22102102001
III | 102 | Mechanical Engineering | 100312 | 4.00 | 25 | MATCH | 22102102001
III | 102 | Mechanical Engineering | 100399P | 4.00 | 25 | MATCH | 22102102001
III | 102 | Mechanical Engineering | 102302P | 2.00 | 25 | MATCH | 22102102001
III | 102 | Mechanical Engineering | 102304 | 4.00 | 25 | MATCH | 22102102001
III | 103 | Electrical Engineering | 100302 | 3.00 | 26 | MATCH | 22103106006
III | 103 | Electrical Engineering | 100302P | 1.00 | 26 | MATCH | 22103106006
III | 103 | Electrical Engineering | 100306 | 4.00 | 26 | MATCH | 22103106006
III | 103 | Electrical Engineering | 100306P | 1.00 | 26 | MATCH | 22103106006
III | 103 | Electrical Engineering | 100307 | 4.00 | 26 | MATCH | 22103106006
III | 103 | Electrical Engineering | 100307P | 1.00 | 26 | MATCH | 22103106006
III | 103 | Electrical Engineering | 100308 | 4.00 | 26 | MATCH | 22103106006
III | 103 | Electrical Engineering | 100310 | 4.00 | 26 | MATCH | 22103106006
III | 103 | Electrical Engineering | 100399P | 4.00 | 26 | MATCH | 22103106006
III | 104 | Electronics & Communication Engineering | 100313 | 3.00 | 26 | MATCH | 22104134040
