reg_no | branch_code | subject_codes | subject_names | reason | old_result_url | new_result_url
21101113006 | 101 | 100408P | MOOCs / SWAYAM / NPTEL Courses - 1 | External exam marked AB in current carry result | http://results.beup.ac.in/ResultsBTech4thSem2024_B2022Pub.aspx?Sem=IV&RegNo=21101113006 | https://beu-bih.ac.in/backend/v1/result/get-result?year=2025&redg_no=21101113006&semester=IV&exam_held=December%2F2025
21101132023 | 101 | 101402 | Disaster Preparedness & Planning | External exam marked AB in current carry result | http://results.beup.ac.in/ResultsBTech4thSem2024_B2022Pub.aspx?Sem=IV&RegNo=21101132023 | https://beu-bih.ac.in/backend/v1/result/get-result?year=2025&redg_no=21101132023&semester=IV&exam_held=December%2F2025
21101134043 | 101 | 100408P,101401 | MOOCs / SWAYAM / NPTEL Courses - 1,Civil Engineering - Societal & Global Impact | External exam marked AB in current carry result,External exam marked AB in current carry result | http://results.beup.ac.in/ResultsBTech4thSem2024_B2022Pub.aspx?Sem=IV&RegNo=21101134043 | https://beu-bih.ac.in/backend/v1/result/get-result?year=2025&redg_no=21101134043&semester=IV&exam_held=December%2F2025
21101135039 | 101 | 100408P | MOOCs / SWAYAM / NPTEL Courses - 1 | External exam marked AB in current carry result | http://results.beup.ac.in/ResultsBTech4thSem2024_B2022Pub.aspx?Sem=IV&RegNo=21101135039 | https://beu-bih.ac.in/backend/v1/result/get-result?year=2025&redg_no=21101135039&semester=IV&exam_held=December%2F2025
21101150015 | 101 | 101402 | Disaster Preparedness & Planning | External exam marked AB in current carry result | http://results.beup.ac.in/ResultsBTech4thSem2024_B2022Pub.aspx?Sem=IV&RegNo=21101150015 | https://beu-bih.ac.in/backend/v1/result/get-result?year=2025&redg_no=21101150015&semester=IV&exam_held=December%2F2025
21101150016 | 101 | 100408P,101407 | MOOCs / SWAYAM / NPTEL Courses - 1,Mechanical Engineering | External exam marked AB in current carry result,External exam marked AB in current carry result | http://results.beup.ac.in/ResultsBTech4thSem2024_B2022Pub.aspx?Sem=IV&RegNo=21101150016 | https://beu-bih.ac.in/backend/v1/result/get-result?year=2025&redg_no=21101150016&semester=IV&exam_held=December%2F2025
21101150034 | 101 | 100408P,101405 | MOOCs / SWAYAM / NPTEL Courses - 1,Introduction to Solid Mechanics | External exam marked AB in current carry result,External exam marked AB in current carry result | http://results.beup.ac.in/ResultsBTech4thSem2024_B2022Pub.aspx?Sem=IV&RegNo=21101150034 | https://beu-bih.ac.in/backend/v1/result/get-result?year=2025&redg_no=21101150034&semester=IV&exam_held=December%2F2025
21101150081 | 101 | 100408P | MOOCs / SWAYAM / NPTEL Courses - 1 | External exam marked AB in current carry result | http://results.beup.ac.in/ResultsBTech4thSem2024_B2022Pub.aspx?Sem=IV&RegNo=21101150081 | https://beu-bih.ac.in/backend/v1/result/get-result?year=2025&redg_no=21101150081&semester=IV&exam_held=December%2F2025
21101150087 | 101 | 100408P | MOOCs / SWAYAM / NPTEL Courses - 1 | External exam marked AB in current carry result | http://results.beup.ac.in/ResultsBTech4thSem2024_B2022Pub.aspx?Sem=IV&RegNo=21101150087 | https://beu-bih.ac.in/backend/v1/result/get-result?year=2025&redg_no=21101150087&semester=IV&exam_held=December%2F2025
21101154057 | 101 | 100408P | MOOCs / SWAYAM / NPTEL Courses - 1 | External exam marked AB in current carry result | http://results.beup.ac.in/ResultsBTech4thSem2024_B2022Pub.aspx?Sem=IV&RegNo=21101154057 | https://beu-bih.ac.in/backend/v1/result/get-result?year=2025&redg_no=21101154057&semester=IV&exam_held=December%2F2025
