reg_no | sem | branch_code | subject_code | subject_name | subject_type | credit | old_shown_grade | new_shown_grade | should_be_grade | shown_gp | corrected_gp | delta_points | new_ese | new_ia | new_total | old_result_url | new_result_url
21101106003 | IV | 101 | 101405 | Introduction to Solid Mechanics | theory | 3.00 | F | P | D | 5 | 6 | 3.00 | 30^ | 27 | 57 | http://results.beup.ac.in/ResultsBTech4thSem2024_B2022Pub.aspx?Sem=IV&RegNo=21101106003 | https://beu-bih.ac.in/backend/v1/result/get-result?year=2025&redg_no=21101106003&semester=IV&exam_held=December%2F2025
21101106007 | IV | 101 | 101403 | Engineering Geology | theory | 2.00 | F | D | C | 6 | 7 | 2.00 | 36^ | 28 | 64 | http://results.beup.ac.in/ResultsBTech4thSem2024_B2022Pub.aspx?Sem=IV&RegNo=21101106007 | https://beu-bih.ac.in/backend/v1/result/get-result?year=2025&redg_no=21101106007&semester=IV&exam_held=December%2F2025
21101106008 | IV | 101 | 101403 | Engineering Geology | theory | 2.00 | F | P | D | 5 | 6 | 2.00 | 28^ | 27 | 55 | http://results.beup.ac.in/ResultsBTech4thSem2024_B2022Pub.aspx?Sem=IV&RegNo=21101106008 | https://beu-bih.ac.in/backend/v1/result/get-result?year=2025&redg_no=21101106008&semester=IV&exam_held=December%2F2025
21101106018 | IV | 101 | 101404 | Introduction to Fluid Mechanics | theory | 3.00 | F | P | D | 5 | 6 | 3.00 | 28^ | 27 | 55 | http://results.beup.ac.in/ResultsBTech4thSem2024_B2022Pub.aspx?Sem=IV&RegNo=21101106018 | https://beu-bih.ac.in/backend/v1/result/get-result?year=2025&redg_no=21101106018&semester=IV&exam_held=December%2F2025
21101107026 | IV | 101 | 101405 | Introduction to Solid Mechanics | theory | 3.00 | F | P | D | 5 | 6 | 3.00 | 35^ | 15 | 50 | http://results.beup.ac.in/ResultsBTech4thSem2024_B2022Pub.aspx?Sem=IV&RegNo=21101107026 | https://beu-bih.ac.in/backend/v1/result/get-result?year=2025&redg_no=21101107026&semester=IV&exam_held=December%2F2025
21101109050 | IV | 101 | 101406 | Materials, Testing & Evaluation | theory | 2.00 | F | C | B | 7 | 8 | 2.00 | 41^ | 30 | 71 | http://results.beup.ac.in/ResultsBTech4thSem2024_B2022Pub.aspx?Sem=IV&RegNo=21101109050 | https://beu-bih.ac.in/backend/v1/result/get-result?year=2025&redg_no=21101109050&semester=IV&exam_held=December%2F2025
21101109054 | IV | 101 | 101401 | Civil Engineering - Societal & Global Impact | theory | 2.00 | F | P | D | 5 | 6 | 2.00 | 37^ | 19 | 56 | http://results.beup.ac.in/ResultsBTech4thSem2024_B2022Pub.aspx?Sem=IV&RegNo=21101109054 | https://beu-bih.ac.in/backend/v1/result/get-result?year=2025&redg_no=21101109054&semester=IV&exam_held=December%2F2025
21101111056 | IV | 101 | 101408 | Structural Analysis | theory | 4.00 | F | C | B | 7 | 8 | 4.00 | 53^ | 17 | 70 | http://results.beup.ac.in/ResultsBTech4thSem2024_B2022Pub.aspx?Sem=IV&RegNo=21101111056 | https://beu-bih.ac.in/backend/v1/result/get-result?year=2025&redg_no=21101111056&semester=IV&exam_held=December%2F2025
21101111057 | IV | 101 | 101404 | Introduction to Fluid Mechanics | theory | 3.00 | F | P | D | 5 | 6 | 3.00 | 40^ | 13 | 53 | http://results.beup.ac.in/ResultsBTech4thSem2024_B2022Pub.aspx?Sem=IV&RegNo=21101111057 | https://beu-bih.ac.in/backend/v1/result/get-result?year=2025&redg_no=21101111057&semester=IV&exam_held=December%2F2025
21101113014 | IV | 101 | 101408 | Structural Analysis | theory | 4.00 | F | D | C | 6 | 7 | 4.00 | 52^ | 9 | 61 | http://results.beup.ac.in/ResultsBTech4thSem2024_B2022Pub.aspx?Sem=IV&RegNo=21101113014 | https://beu-bih.ac.in/backend/v1/result/get-result?year=2025&redg_no=21101113014&semester=IV&exam_held=December%2F2025
