reg_no | branch_code | subject_codes | subject_names | reason | old_result_url | new_result_url
21101133031 | 101 | 101404 | Introduction to Fluid Mechanics | Unexpected pattern: expected P, published F | https://results.beup.ac.in/ResultsBTech4thSem2024_B2022Pub.aspx?Sem=IV&RegNo=21101133031 | https://beu-bih.ac.in/result-three?name=B.Tech.+4th+Semester+Examination%2C+2025&semester=IV&session=2021-25&regNo=21101133031&exam_held=December%2F2025
21101133052 | 101 | 101404 | Introduction to Fluid Mechanics | Unexpected pattern: expected P, published F | https://results.beup.ac.in/ResultsBTech4thSem2024_B2022Pub.aspx?Sem=IV&RegNo=21101133052 | https://beu-bih.ac.in/result-three?name=B.Tech.+4th+Semester+Examination%2C+2025&semester=IV&session=2021-25&regNo=21101133052&exam_held=December%2F2025
21101150031 | 101 | 101404 | Introduction to Fluid Mechanics | Unexpected pattern: expected F, published P | https://results.beup.ac.in/ResultsBTech4thSem2024_B2022Pub.aspx?Sem=IV&RegNo=21101150031 | https://beu-bih.ac.in/result-three?name=B.Tech.+4th+Semester+Examination%2C+2025&semester=IV&session=2021-25&regNo=21101150031&exam_held=December%2F2025
21101152050 | 101 | 101402 | Disaster Preparedness & Planning | Unexpected pattern: expected P, published F | https://results.beup.ac.in/ResultsBTech4thSem2024_B2022Pub.aspx?Sem=IV&RegNo=21101152050 | https://beu-bih.ac.in/result-three?name=B.Tech.+4th+Semester+Examination%2C+2025&semester=IV&session=2021-25&regNo=21101152050&exam_held=December%2F2025
21101154043 | 101 | 101408 | Structural Analysis | Unexpected pattern: expected P, published F | https://results.beup.ac.in/ResultsBTech4thSem2024_B2022Pub.aspx?Sem=IV&RegNo=21101154043 | https://beu-bih.ac.in/result-three?name=B.Tech.+4th+Semester+Examination%2C+2025&semester=IV&session=2021-25&regNo=21101154043&exam_held=December%2F2025
21101154050 | 101 | 101407 | Mechanical Engineering | Unexpected pattern: expected P, published F | https://results.beup.ac.in/ResultsBTech4thSem2024_B2022Pub.aspx?Sem=IV&RegNo=21101154050 | https://beu-bih.ac.in/result-three?name=B.Tech.+4th+Semester+Examination%2C+2025&semester=IV&session=2021-25&regNo=21101154050&exam_held=December%2F2025
21102107029 | 102 | 102401 | Applied Thermodynamics | Unexpected pattern: expected F, published P | https://results.beup.ac.in/ResultsBTech4thSem2024_B2022Pub.aspx?Sem=IV&RegNo=21102107029 | https://beu-bih.ac.in/result-three?name=B.Tech.+4th+Semester+Examination%2C+2025&semester=IV&session=2021-25&regNo=21102107029&exam_held=December%2F2025
21102124019 | 102 | 102405 | Strength of Materials | Unexpected pattern: expected P, published F | https://results.beup.ac.in/ResultsBTech4thSem2024_B2022Pub.aspx?Sem=IV&RegNo=21102124019 | https://beu-bih.ac.in/result-three?name=B.Tech.+4th+Semester+Examination%2C+2025&semester=IV&session=2021-25&regNo=21102124019&exam_held=December%2F2025
21103131001 | 103 | 100403 | Digital Electronics | Unexpected pattern: expected P, published F | https://results.beup.ac.in/ResultsBTech4thSem2024_B2022Pub.aspx?Sem=IV&RegNo=21103131001 | https://beu-bih.ac.in/result-three?name=B.Tech.+4th+Semester+Examination%2C+2025&semester=IV&session=2021-25&regNo=21103131001&exam_held=December%2F2025
21103131012 | 103 | 100403 | Digital Electronics | Unexpected pattern: expected P, published F | https://results.beup.ac.in/ResultsBTech4thSem2024_B2022Pub.aspx?Sem=IV&RegNo=21103131012 | https://beu-bih.ac.in/result-three?name=B.Tech.+4th+Semester+Examination%2C+2025&semester=IV&session=2021-25&regNo=21103131012&exam_held=December%2F2025
