reg_no | back_codes | back_names
22102102001 | 102403,102404,102405,100408P | Fluid Mechanics,Instrumentation & Control,Strength of Materials,MOOCs / SWAYAM / NPTEL Courses - 1 (Practical)
22102102002 | 102401,102403,100408P | Applied Thermodynamics,Fluid Mechanics,MOOCs / SWAYAM / NPTEL Courses - 1 (Practical)
22102102003 | 102401 | Applied Thermodynamics
22102102004 | 102401,102403,102405 | Applied Thermodynamics,Fluid Mechanics,Strength of Materials
22102102007 | 102402,102403 | Engineering Materials,Fluid Mechanics
22102102009 | 100408P | MOOCs / SWAYAM / NPTEL Courses - 1 (Practical)
22102102010 | 102403,100408P | Fluid Mechanics,MOOCs / SWAYAM / NPTEL Courses - 1 (Practical)
22102102012 | 102403,102404,100408P | Fluid Mechanics,Instrumentation & Control,MOOCs / SWAYAM / NPTEL Courses - 1 (Practical)
22104102007 | 104401,100408P | Analog Circuits,MOOCs / SWAYAM / NPTEL Courses - 1 (Practical)
22104102015 | 104401,104402,104403 | Analog Circuits,Analog Communication,Digital Circuits
22105102001 | 100403,105401 | Digital Electronics,Computer Organization & Architecture
22105102004 | 100403 | Digital Electronics
22105102005 | 100407 | Human Resource Development and Organizational Behavior
22105102006 | 100403,105401,105403 | Digital Electronics,Computer Organization & Architecture,Operating Systems
22105102008 | 100403,100404,105402 | Digital Electronics,Discrete Mathematics,Design & Analysis of Algorithms
22105102009 | 100404 | Discrete Mathematics
22105102011 | 100403 | Digital Electronics
22105102012 | 100404,105403 | Discrete Mathematics,Operating Systems
22105102016 | 105401,105403 | Computer Organization & Architecture,Operating Systems
22105102018 | 100404,100407,105401 | Discrete Mathematics,Human Resource Development and Organizational Behavior,Computer Organization & Architecture
22105102023 | 100403,105403 | Digital Electronics,Operating Systems
22105102024 | 105403 | Operating Systems
22105102025 | 100403,105403 | Digital Electronics,Operating Systems
22105102027 | 100403,100404,105403 | Digital Electronics,Discrete Mathematics,Operating Systems
22105102034 | 100403,105401,105402,105403 | Digital Electronics,Computer Organization & Architecture,Design & Analysis of Algorithms,Operating Systems
22105102036 | 100403,100404,105402 | Digital Electronics,Discrete Mathematics,Design & Analysis of Algorithms
22105102038 | 105403 | Operating Systems
22105102040 | 100403,100404,105401 | Digital Electronics,Discrete Mathematics,Computer Organization & Architecture
22105102048 | 100403,100404,105403 | Digital Electronics,Discrete Mathematics,Operating Systems
22105102053 | 100403,105402 | Digital Electronics,Design & Analysis of Algorithms
22110102005 | 110401,110402 | Analog Electronics,Electrical Machines – II
22101103003 | 100408P | MOOCs / SWAYAM / NPTEL Courses - 1 (Practical)
22101103006 | 100408P | MOOCs / SWAYAM / NPTEL Courses - 1 (Practical)
22101103007 | 100408P | MOOCs / SWAYAM / NPTEL Courses - 1 (Practical)
22101103008 | 100408P | MOOCs / SWAYAM / NPTEL Courses - 1 (Practical)
22101103011 | 101403,101406,100408P | Engineering Geology,Materials, Testing & Evaluation,MOOCs / SWAYAM / NPTEL Courses - 1 (Practical)
22101103014 | 100408P | MOOCs / SWAYAM / NPTEL Courses - 1 (Practical)
22101103015 | 100408P | MOOCs / SWAYAM / NPTEL Courses - 1 (Practical)
22101103016 | 100408P | MOOCs / SWAYAM / NPTEL Courses - 1 (Practical)
22101103022 | 100408P | MOOCs / SWAYAM / NPTEL Courses - 1 (Practical)
22101103023 | 100408P | MOOCs / SWAYAM / NPTEL Courses - 1 (Practical)
22101103024 | 101406,100408P | Materials, Testing & Evaluation,MOOCs / SWAYAM / NPTEL Courses - 1 (Practical)
22101103025 | 101406,100408P | Materials, Testing & Evaluation,MOOCs / SWAYAM / NPTEL Courses - 1 (Practical)
22101103027 | 100408P | MOOCs / SWAYAM / NPTEL Courses - 1 (Practical)
22102103001 | 102402,100408P | Engineering Materials,MOOCs / SWAYAM / NPTEL Courses - 1 (Practical)
22102103002 | 100408P | MOOCs / SWAYAM / NPTEL Courses - 1 (Practical)
22102103003 | 102402,100408P | Engineering Materials,MOOCs / SWAYAM / NPTEL Courses - 1 (Practical)
22102103004 | 102402,100408P | Engineering Materials,MOOCs / SWAYAM / NPTEL Courses - 1 (Practical)
22104103001 | 104401 | Analog Circuits
22104103002 | 104401 | Analog Circuits
22104103003 | 104401,104405,100408P | Analog Circuits,Semiconductor Physics and Devices,MOOCs / SWAYAM / NPTEL Courses - 1 (Practical)
22105103008 | 100403,105401 | Digital Electronics,Computer Organization & Architecture
22105103009 | 100403 | Digital Electronics
22105103054 | 100403,100403P,105401P,105402P,105403P | Digital Electronics,Digital Electronics (Practical),Computer Organization & Architecture (Practical),Design & Analysis of Algorithms (Practical),Operating Systems (Practical)
22110103002 | 110406 | Signals and Systems
22110103005 | 110401,110406 | Analog Electronics,Signals and Systems
22110103010 | 110401 | Analog Electronics
22101106002 | 101403,101404,100408P | Engineering Geology,Introduction to Fluid Mechanics,MOOCs / SWAYAM / NPTEL Courses - 1 (Practical)
22101106008 | 101403,101404,100408P | Engineering Geology,Introduction to Fluid Mechanics,MOOCs / SWAYAM / NPTEL Courses - 1 (Practical)
22101106009 | 100408P | MOOCs / SWAYAM / NPTEL Courses - 1 (Practical)
22101106017 | 101407,100408P | Mechanical Engineering,MOOCs / SWAYAM / NPTEL Courses - 1 (Practical)
22101106025 | 101403,101406,101407,100408P | Engineering Geology,Materials, Testing & Evaluation,Mechanical Engineering,MOOCs / SWAYAM / NPTEL Courses - 1 (Practical)
22101106032 | 100408P | MOOCs / SWAYAM / NPTEL Courses - 1 (Practical)
22101106033 | 101403,101405,100408P | Engineering Geology,Introduction to Solid Mechanics,MOOCs / SWAYAM / NPTEL Courses - 1 (Practical)
22101106036 | 101406,100408P | Materials, Testing & Evaluation,MOOCs / SWAYAM / NPTEL Courses - 1 (Practical)
22101106037 | 101403,101404,100408P | Engineering Geology,Introduction to Fluid Mechanics,MOOCs / SWAYAM / NPTEL Courses - 1 (Practical)
22101106042 | 101403,100408P | Engineering Geology,MOOCs / SWAYAM / NPTEL Courses - 1 (Practical)
22102106006 | 100408P | MOOCs / SWAYAM / NPTEL Courses - 1 (Practical)
22102106008 | 102402,100408P | Engineering Materials,MOOCs / SWAYAM / NPTEL Courses - 1 (Practical)
22102106014 | 102405,100408P | Strength of Materials,MOOCs / SWAYAM / NPTEL Courses - 1 (Practical)
22102106019 | 102401,100408P | Applied Thermodynamics,MOOCs / SWAYAM / NPTEL Courses - 1 (Practical)
22102106020 | 102401,102403,102405,100408P | Applied Thermodynamics,Fluid Mechanics,Strength of Materials,MOOCs / SWAYAM / NPTEL Courses - 1 (Practical)
22103106005 | 100401,103401 | Biology for Engineers,Electrical and Electronics Measurement
22103106006 | 100401,103404 | Biology for Engineers,Signals and Systems
22103106007 | 100401,100403,103401,103402 | Biology for Engineers,Digital Electronics,Electrical and Electronics Measurement,Electrical Machines – II
22103106008 | 100401,100403 | Biology for Engineers,Digital Electronics
22103106017 | 100401,103401,103403 | Biology for Engineers,Electrical and Electronics Measurement,Mathematics – III (Probability and Statistics)
22103106019 | 103401,103402,103404 | Electrical and Electronics Measurement,Electrical Machines – II,Signals and Systems
22103106020 | 103404 | Signals and Systems
22103106021 | 103402 | Electrical Machines – II
22105106005 | 105403 | Operating Systems
22105106006 | 100403,105403 | Digital Electronics,Operating Systems
22105106007 | 100403 | Digital Electronics
22105106010 | 100403 | Digital Electronics
22105106012 | 100403,105403 | Digital Electronics,Operating Systems
22105106013 | 100403,105401 | Digital Electronics,Computer Organization & Architecture
22105106020 | 100403 | Digital Electronics
22105106022 | 100404,105401,105403 | Discrete Mathematics,Computer Organization & Architecture,Operating Systems
22105106026 | 100403 | Digital Electronics
22105106027 | 105402 | Design & Analysis of Algorithms
22105106032 | 100403 | Digital Electronics
22105106035 | 100403,105403 | Digital Electronics,Operating Systems
22105106039 | 105403 | Operating Systems
